created_at,Dispatch_asper_sla_new,increment_id,item_id,pos_item_id,overall_unicom_at,PowerUpdatedOverall,payment_capture_time,uw_item_id,ref_uw_item_id,brand,unicom_order_code,reference_unicom_order_code,channel,inv_status_type,handover type,Order_Country,lens_package,power_type,product_id,left_lens_pid,right_lens_pid,left_power_cyl,left_power_sph,right_power_cyl,right_power_sph,power type lens,pfu_ever_flag,jit flag,franchise_id,facility_code,ship_to_cust,pincode,first_delivery_attempt,delivery_date,mark_receive_time,handover_time,nps_response_date,nps_value,nps_scale,revenue_without_vat,primary_return_reason,secondary_return_reason,shipment_at,rts_at,picking_at,manifest_at,cx_packing,shipment_handover_time,shipping_time,dispatch_date_new,min_complete_at,city,ship_to_cust_store,Tracking Number,lf_vendor,lf_delivered_date,overall_delivery_at,lf_mark_sent_date,frame_uff,lens_uff,qc_damage_nos,order_fulfillable_time,min_picklist_created,min_shipment_creation,min_asrs_allocated,min_nxs_mei_entry,qc_done,mei_done,fitting_done,Final_Remark_NDDPerformance,NDD_Deep_Dive_reason,Breach_Type,edd_time,pnc_ever_flag,dc_arrival_time,out_for_delivery,routing_code,dc_courier_code,priority,Refund Status,lk_cash_amount,failure_reason,shipping_package_code,fulfilment facility
6/16/2026 12:24:25 AM,,1342832889,881699274,,6/16/2026 12:24:39 AM,6/16/2026 12:24:35 AM,6/16/2026 12:24:35 AM,939248840,,Aqualens,736557617-1,,online,Revenue,Warehouse,India,,,133854,,,,,,,,0,,,,1,132114,,,,,,,,0,,,6/16/2026 12:24:40 AM,,6/16/2026 12:24:40 AM,,,,,,,Karnal,Ship to Cust,,,,,,,,,,6/16/2026 12:26:23 PM,6/16/2026 12:24:39 AM,,,,,,Picklist/ASRS Allocation Delay 10PM,,,6/17/2026 5:30:00 AM,,,,,,1,,,,SNXS1270000003660898,NXS1
6/16/2026 2:18:30 AM,,1342833869,881703540,,6/16/2026 2:18:36 AM,6/16/2026 2:18:32 AM,6/16/2026 2:18:32 AM,939253106,,Aqualens,736558743-1,,online,Revenue,Warehouse,India,,,133854,,,,,,,,0,,,,1,243122,,,,,,,,0,,,6/16/2026 2:18:37 AM,,6/16/2026 2:18:37 AM,,,,,,,Bareilly,Ship to Cust,,,,,,,,,,6/16/2026 12:26:42 PM,6/16/2026 2:18:36 AM,,,,,,Picklist/ASRS Allocation Delay 10PM,,,6/17/2026 5:30:00 AM,,,,,,1,,,,,NXS1
6/16/2026 2:36:03 AM,,1342834113,881703918,,6/16/2026 2:36:08 AM,6/16/2026 2:36:05 AM,6/16/2026 2:36:05 AM,939253484,,Aqualens,736558814-1,,online,Revenue,Warehouse,India,,,133854,,,,,,,,0,,,,1,110031,,,,,,,,0,,,6/16/2026 2:36:09 AM,,6/16/2026 2:36:09 AM,,,,,,,New Delhi,Ship to Cust,,,,,,,,,,6/16/2026 12:26:42 PM,6/16/2026 2:36:08 AM,,,,,,Picklist/ASRS Allocation Delay 10PM,,,6/17/2026 5:30:00 AM,,,,,,1,,,,,NXS1
6/16/2026 1:42:01 AM,,1342833722,881702448,,6/16/2026 1:42:20 AM,6/16/2026 1:42:13 AM,6/16/2026 1:42:13 AM,939252014,,Aqualens,736558442-2,,online,Revenue,Warehouse,India,,,123656,,,,,,,,0,,,,1,560035,,,,,,,,0.85,,,6/16/2026 1:42:21 AM,,6/16/2026 1:42:21 AM,,,,,,,Bengaluru,Ship to Cust,,,,,,,,,6/16/2026 1:42:18 AM,6/16/2026 12:26:41 PM,6/16/2026 1:42:20 AM,,,,,,Picklist/ASRS Allocation Delay 10PM,,,6/17/2026 5:30:00 AM,,,,,,1,,,,SNXS1270000003661187,NXS1
6/16/2026 1:01:06 AM,,1342833317,881700966,,2026-06-16 1:01:37,2026-06-16 1:01:33,6/16/2026 1:01:33 AM,939250532,,Aqualens,736558037-1,,online,Revenue,Warehouse,India,,,133854,,,,,,,,0,,,,1,421201,,,,,,,,0,,,6/16/2026 1:01:38 AM,,6/16/2026 1:01:38 AM,,,,,,,Kalyan,Ship to Cust,,,,,,,,,,6/16/2026 12:26:24 PM,6/16/2026 1:01:37 AM,,,,,,Picklist/ASRS Allocation Delay 10PM,,,6/17/2026 5:30:00 AM,,,,,,1,,,,SNXS1270000003661069,NXS1
6/16/2026 12:57:00 AM,,1342833347,881700828,,2026-06-16 0:57:27,2026-06-16 0:57:23,6/16/2026 12:57:23 AM,939250394,,Aqualens,736558067-1,,online,Revenue,Warehouse,India,,,115802,,,,,,,,0,,,,1,600090,,,,,,,,321.19,,,6/16/2026 12:57:28 AM,,6/16/2026 12:57:28 AM,,,,,,,Chennai,Ship to Cust,,,,,,,,,,6/16/2026 12:26:24 PM,6/16/2026 12:57:27 AM,,,,,,Picklist/ASRS Allocation Delay 10PM,,,6/17/2026 5:30:00 AM,,,,,,1,,,,SNXS1270000003661054,NXS1
6/16/2026 12:28:51 AM,,1342833034,881699478,,2026-06-16 0:29:09,2026-06-16 0:29:05,6/16/2026 12:29:05 AM,939249044,,Aqualens,736557757-1,,online,Revenue,Warehouse,India,,,133854,,,,,,,,0,,,,1,302018,,,,,,,,126.27,,,6/16/2026 12:29:10 AM,,6/16/2026 12:29:10 AM,,,,,,,Jaipur,Ship to Cust,,,,,,,,,,6/16/2026 12:26:23 PM,6/16/2026 12:29:09 AM,,,,,,Picklist/ASRS Allocation Delay 10PM,,,6/17/2026 5:30:00 AM,,,,,,1,,,,,NXS1
6/16/2026 12:44:19 AM,,1342833167,881700360,,2026-06-16 0:44:38,2026-06-16 0:44:34,6/16/2026 12:44:34 AM,939249926,,Aqualens,736557895-1,,online,Revenue,Warehouse,India,,,133854,,,,,,,,0,,,,1,400079,,,,,,,,0,,,6/16/2026 12:44:39 AM,,6/16/2026 12:44:39 AM,,,,,,,Mumbai,Ship to Cust,,,,,,,,,,6/16/2026 12:26:24 PM,6/16/2026 12:44:38 AM,,,,,,Picklist/ASRS Allocation Delay 10PM,,,6/17/2026 5:30:00 AM,,,,,,1,,,,SNXS1270000003660999,NXS1
6/16/2026 12:45:26 AM,,1342833204,881700390,,2026-06-16 0:48:07,2026-06-16 0:47:59,6/16/2026 12:47:59 AM,939249956,,Aqualens,736557934-1,,online,Revenue,Warehouse,India,,,133854,,,,,,,,0,,,,1,110032,,,,,,,,294.07,,,6/16/2026 12:48:08 AM,,6/16/2026 12:48:08 AM,,,,,,,New Delhi,Ship to Cust,,,,,,,,,,6/16/2026 12:26:24 PM,6/16/2026 12:48:07 AM,,,,,,Picklist/ASRS Allocation Delay 10PM,,,6/17/2026 5:30:00 AM,,,,,,1,,,,SNXS1270000003661016,NXS1
6/16/2026 1:16:25 AM,,1342833540,881701500,,2026-06-16 1:16:43,2026-06-16 1:16:39,6/16/2026 1:16:39 AM,939251066,,Aqualens,736558260-1,,online,Revenue,Warehouse,India,,,133854,,,,,,,,0,,,,1,700159,,,,,,,,0,,,6/16/2026 1:16:44 AM,,6/16/2026 1:16:44 AM,,,,,,,North 24 Parganas,Ship to Cust,,,,,,,,,,6/16/2026 12:26:24 PM,6/16/2026 1:16:43 AM,,,,,,Picklist/ASRS Allocation Delay 10PM,,,6/17/2026 5:30:00 AM,,,,,,1,,,,,NXS1
